head,relation,tail
icd11:1771541907,is_a,icd11:1887882424
icd11:67108853,is_a,icd11:532698403
icd11:1042261192,is_a,icd11:770606171
icd11:108348777,is_a,icd11:587996426
icd11:108348777,is_a,icd11:1054502653
icd11:1084539944,is_a,icd11:1668927157
icd11:1465667896,is_a,icd11:1083906203
icd11:394493841,is_a,icd11:6464079
icd11:324338659,is_a,icd11:1255912593
icd11:511982427,is_a,icd11:795969334
icd11:522065632,is_a,icd11:168471930
icd11:1032400656,is_a,icd11:99883782
icd11:330445366,is_a,icd11:318744822
icd11:897581494,is_a,icd11:1845825765
icd11:713628788,is_a,icd11:1955286209
icd11:143807416,is_a,icd11:1596419171
icd11:2123347071,is_a,icd11:551528014
icd11:1841044964,is_a,icd11:1241191580
icd11:247568702,is_a,icd11:1530443809
icd11:1444031920,is_a,icd11:1955286209
icd11:339215506,is_a,icd11:406510021
icd11:396482341,is_a,icd11:1180662736
icd11:1441325423,is_a,icd11:466068824
icd11:1070591773,is_a,icd11:1539507119
icd11:1779492685,is_a,icd11:1325516156
icd11:1254605284,is_a,icd11:911623253
icd11:1254605284,is_a,icd11:1205902774
icd11:1912359477,is_a,icd11:679424253
icd11:1912359477,is_a,icd11:284380638
icd11:1890408959,is_a,icd11:2012125844
icd11:1288068221,is_a,icd11:1628519266
icd11:1288068221,is_a,icd11:1280818714
icd11:847608197,is_a,icd11:304883627
icd11:2093991234,is_a,icd11:1428089375
icd11:676513668,is_a,icd11:1168349810
icd11:1971711642,is_a,icd11:2100075501
icd11:1103703159,is_a,icd11:11820475
icd11:1928950179,is_a,icd11:569611257
icd11:185430933,is_a,icd11:933570887
icd11:1305464814,is_a,icd11:2144774073
icd11:197318175,is_a,icd11:635930769
icd11:1537801570,is_a,icd11:1849568465
icd11:122905039,is_a,icd11:1416949107
icd11:516222817,is_a,icd11:381620889
icd11:391848935,is_a,icd11:829244997
icd11:1662614078,is_a,icd11:1100654683
icd11:205263095,is_a,icd11:408835699
icd11:824043744,is_a,icd11:25801498
icd11:1812255368,is_a,icd11:1673144937
icd11:24246260,is_a,icd11:191659986
icd11:1753901161,is_a,icd11:1205950456
icd11:333972756,is_a,icd11:1136303691
icd11:522437993,is_a,icd11:1727759199
icd11:522437993,is_a,icd11:635113041
icd11:598142773,is_a,icd11:928435705
icd11:1841960311,is_a,icd11:1044091662
icd11:1503331356,is_a,icd11:1975875319
icd11:326037125,is_a,icd11:874338532
icd11:548201243,is_a,icd11:955213795
icd11:1202062855,is_a,icd11:63698555
icd11:194793453,is_a,icd11:841437704
icd11:194793453,is_a,icd11:836070353
icd11:1732467978,is_a,icd11:551528014
icd11:125814779,is_a,icd11:406586413
icd11:1635123778,is_a,icd11:69687028
icd11:1729442326,is_a,icd11:829244997
icd11:203254252,is_a,icd11:305688579
icd11:395268449,is_a,icd11:1421374970
icd11:395268449,is_a,icd11:923546127
icd11:395268449,is_a,icd11:1376183765
icd11:1622319802,is_a,icd11:29524620
icd11:1622319802,is_a,icd11:1180662736
icd11:1825782219,is_a,icd11:1040820675
icd11:242329289,is_a,icd11:1697597215
icd11:1520711717,is_a,icd11:1785103254
icd11:708602629,is_a,icd11:1083906203
icd11:1379934125,is_a,icd11:965498095
